t,ax,ay,az,gx,gy,gz
0.80851,-406,320,-31,-3,7,1
0.80852,-408,320,-32,-3,7,1
0.80859,-408,320,-32,-3,7,1
0.80860,-405,322,-32,-3,7,1
0.80861,-405,322,-32,-3,7,1
0.80862,-402,323,-31,-3,7,1
0.80863,-402,323,-31,-3,7,1
0.80863,-402,323,-31,-3,7,1
0.86059,-403,320,-29,-3,7,1
0.86063,-401,320,-26,-3,7,1
0.86073,-401,320,-26,-3,7,1
0.86075,-399,320,-23,-3,7,1
0.86076,-399,320,-23,-3,7,1
0.86077,-399,320,-23,-3,7,1
0.86078,-398,320,-22,-3,7,1
0.86080,-398,320,-22,-3,7,1
0.86082,-402,320,-22,-3,7,1
0.86083,-402,320,-22,-3,7,1
0.86088,-406,319,-25,-3,7,1
0.86090,-406,319,-25,-3,7,1
0.86091,-406,319,-25,-3,7,1
0.86092,-407,320,-28,-3,7,1
0.86094,-407,320,-28,-3,7,1
0.86095,-410,320,-31,-3,7,1
0.91165,-401,317,-25,-3,7,1
0.91169,-401,317,-25,-3,7,1
0.91173,-401,318,-25,-3,7,1
0.91174,-401,318,-25,-3,7,1
0.91175,-404,319,-27,-3,7,1
0.91180,-404,319,-27,-3,7,1
0.91185,-404,319,-27,-3,7,1
0.91189,-407,318,-29,-3,7,1
0.91191,-407,318,-29,-3,7,1
0.91192,-410,320,-31,-3,7,1
0.91194,-410,320,-31,-3,7,1
0.91199,-410,320,-31,-3,7,1
0.91201,-407,322,-33,-3,7,1
0.91202,-407,322,-33,-3,7,1
0.91203,-400,323,-32,-3,7,1
0.91204,-400,323,-32,-3,7,1
0.96261,-408,317,-27,-3,7,1
0.96265,-409,319,-27,-3,7,1
0.96270,-409,319,-27,-3,7,1
0.96274,-409,319,-27,-3,7,1
0.96282,-407,320,-29,-3,7,1
0.96283,-407,320,-29,-3,7,1
0.96289,-404,320,-32,-3,7,1
0.96290,-404,320,-32,-3,7,1
0.96292,-404,320,-32,-3,7,1
0.96295,-401,320,-31,-3,7,1
0.96302,-401,320,-31,-3,7,1
0.96305,-402,320,-26,-3,7,1
0.96307,-402,320,-26,-3,7,1
0.96309,-402,320,-26,-3,7,1
0.96310,-400,321,-23,-3,7,1
0.96311,-400,321,-23,-3,7,1
1.01636,-405,321,-28,-3,7,1
1.01644,-405,321,-28,-3,7,1
1.01656,-405,321,-28,-3,7,1
1.01659,-404,319,-27,-3,7,1
1.01666,-404,319,-27,-3,7,1
1.01670,-401,319,-28,-3,7,1
1.01672,-401,319,-28,-3,7,1
1.01673,-401,319,-28,-3,7,1
1.01675,-400,320,-27,-3,7,1
1.01688,-400,320,-27,-3,7,1
1.01691,-401,320,-26,-3,7,1
1.01693,-401,320,-26,-3,7,1
1.01701,-401,320,-26,-3,7,1
1.01706,-403,319,-24,-3,7,1
1.01707,-403,319,-24,-3,7,1
1.01711,-403,320,-24,-3,7,1
1.06935,-400,320,-21,-3,7,1
1.06946,-402,320,-24,-3,7,1
1.06955,-402,320,-24,-3,7,1
1.06957,-402,320,-24,-3,7,1
1.06959,-402,321,-27,-3,7,1
1.06963,-402,321,-27,-3,7,1
1.06970,-404,322,-29,-3,7,1
1.06974,-404,322,-29,-3,7,1
1.06978,-404,322,-29,-3,7,1
1.06984,-406,322,-31,-3,7,1
1.06988,-406,322,-31,-3,7,1
1.06989,-408,321,-31,-3,7,1
1.06990,-408,321,-31,-3,7,1
1.06995,-408,321,-31,-3,7,1
1.06999,-409,320,-32,-3,7,1
1.07000,-409,320,-32,-3,7,1
1.12020,-409,319,-30,-3,7,1
1.12026,-405,320,-33,-3,7,1
1.12031,-405,320,-33,-3,7,1
1.12038,-404,319,-33,-3,7,1
1.12045,-404,319,-33,-3,7,1
1.12140,-404,319,-33,-3,7,1
1.12142,-405,320,-28,-3,7,1
1.12144,-405,320,-28,-3,7,1
1.12145,-402,321,-23,-3,7,1
1.12147,-402,321,-23,-3,7,1
1.12159,-402,321,-23,-3,7,1
1.12161,-400,320,-23,-3,7,1
1.12163,-400,320,-23,-3,7,1
1.12165,-402,318,-26,-3,7,1
1.12174,-402,318,-26,-3,7,1
1.12177,-402,318,-26,-3,7,1
1.17328,-404,318,-29,-3,7,1
1.17341,-404,318,-29,-3,7,1
1.17345,-401,317,-25,-3,7,1
1.17347,-401,317,-25,-3,7,1
1.17348,-399,318,-22,-3,7,1
1.17349,-399,318,-22,-3,7,1
1.17350,-399,318,-22,-3,7,1
1.17360,-399,320,-24,-3,7,1
1.17361,-399,320,-24,-3,7,1
1.17362,-400,319,-27,-3,7,1
1.17367,-400,319,-27,-3,7,1
1.17370,-400,319,-27,-3,7,1
1.17374,-402,318,-28,-3,7,1
1.17377,-402,318,-28,-3,7,1
1.17380,-405,319,-27,-3,7,1
1.17382,-405,319,-27,-3,7,1
1.22818,-400,320,-21,-3,7,1
1.22823,-405,319,-23,-3,7,1
1.22838,-405,319,-23,-3,7,1
1.22842,-405,319,-27,-3,7,1
1.22844,-405,319,-27,-3,7,1
1.22849,-405,319,-27,-3,7,1
1.22855,-405,320,-32,-3,7,1
1.22868,-405,320,-32,-3,7,1
1.22870,-406,319,-35,-3,7,1
1.22872,-406,319,-35,-3,7,1
1.22873,-406,319,-35,-3,7,1
1.22874,-408,318,-33,-3,7,1
1.22875,-408,318,-33,-3,7,1
1.22880,-409,318,-30,-3,7,1
1.22886,-409,318,-30,-3,7,1
1.22888,-409,318,-30,-3,7,1
1.27925,-404,319,-30,-3,7,1
1.27932,-404,319,-30,-3,7,1
1.27949,-403,319,-27,-3,7,1
1.27955,-403,319,-27,-3,7,1
1.27964,-402,320,-22,-3,7,1
1.27969,-402,320,-22,-3,7,1
1.27972,-402,320,-22,-3,7,1
1.27975,-399,321,-21,-3,7,1
1.27977,-399,321,-21,-3,7,1
1.27986,-400,320,-23,-3,7,1
1.27990,-400,320,-23,-3,7,1
1.27992,-400,320,-23,-3,7,1
1.27995,-403,317,-26,-3,7,1
1.28010,-403,317,-26,-3,7,1
1.28015,-404,317,-27,-3,7,1
1.28018,-404,317,-27,-3,7,1
1.33519,-404,318,-26,-3,7,1
1.33525,-404,318,-26,-3,7,1
1.33532,-404,318,-26,-3,7,1
1.33534,-400,318,-24,-3,7,1
1.33543,-400,318,-24,-3,7,1
1.33549,-399,319,-23,-3,7,1
1.33555,-399,319,-23,-3,7,1
1.33558,-399,319,-23,-3,7,1
1.33559,-405,319,-25,-3,7,1
1.33566,-405,319,-25,-3,7,1
1.33571,-407,319,-30,-3,7,1
1.33574,-407,319,-30,-3,7,1
1.33577,-407,319,-30,-3,7,1
1.33579,-405,322,-33,-3,7,1
1.33583,-405,322,-33,-3,7,1
1.33597,-407,323,-33,-3,7,1
1.38820,-407,320,-34,-3,7,1
1.38825,-404,319,-33,-3,7,1
1.38833,-404,319,-33,-3,7,1
1.38837,-404,319,-33,-3,7,1
1.38838,-404,317,-29,-3,7,1
1.38840,-404,317,-29,-3,7,1
1.38844,-404,318,-25,-3,7,1
1.38845,-404,318,-25,-3,7,1
1.38846,-404,318,-25,-3,7,1
1.38847,-401,320,-23,-3,7,1
1.38851,-401,320,-23,-3,7,1
1.38857,-399,320,-24,-3,7,1
1.38858,-399,320,-24,-3,7,1
1.38859,-399,320,-24,-3,7,1
1.38860,-400,320,-24,-3,7,1
1.38861,-400,320,-24,-3,7,1
1.44156,-401,319,-24,-3,7,1
1.44159,-397,319,-23,-3,7,1
1.44163,-397,319,-23,-3,7,1
1.44164,-400,319,-23,-3,7,1
1.44165,-400,319,-23,-3,7,1
1.44172,-400,319,-23,-3,7,1
1.44174,-402,319,-24,-3,7,1
1.44174,-402,319,-24,-3,7,1
1.44175,-402,319,-25,-3,7,1
1.44175,-402,319,-25,-3,7,1
1.44175,-402,319,-25,-3,7,1
1.44176,-406,317,-26,-3,7,1
1.44177,-406,317,-26,-3,7,1
1.44177,-409,317,-31,-3,7,1
1.44180,-409,317,-31,-3,7,1
1.44180,-409,317,-31,-3,7,1
1.49688,-408,318,-25,-3,7,1
1.49690,-408,318,-25,-3,7,1
1.49691,-406,320,-28,-3,7,1
1.49691,-406,320,-28,-3,7,1
1.49698,-408,320,-32,-3,7,1
1.49698,-408,320,-32,-3,7,1
1.49699,-408,320,-32,-3,7,1
1.49704,-408,319,-32,-3,7,1
1.49704,-408,319,-32,-3,7,1
1.49706,-405,320,-28,-3,7,1
1.49714,-405,320,-28,-3,7,1
1.49714,-405,320,-28,-3,7,1
1.49715,-401,321,-24,-3,7,1
1.49720,-401,321,-24,-3,7,1
1.49721,-402,320,-23,-3,7,1
1.49721,-402,320,-23,-3,7,1
1.55115,-402,320,-20,-3,7,1
1.55117,-402,319,-23,-3,7,1
1.55123,-402,319,-23,-3,7,1
1.55124,-400,319,-28,-3,7,1
1.55124,-400,319,-28,-3,7,1
1.55126,-400,319,-28,-3,7,1
1.55127,-402,319,-30,-3,7,1
1.55133,-402,319,-30,-3,7,1
1.55139,-403,319,-31,-3,7,1
1.55139,-403,319,-31,-3,7,1
1.55145,-403,319,-31,-3,7,1
1.55146,-405,319,-29,-3,7,1
1.55150,-405,319,-29,-3,7,1
1.55151,-407,319,-27,-3,7,1
1.55151,-407,319,-27,-3,7,1
1.55152,-407,319,-27,-3,7,1
1.60656,-409,319,-30,-3,7,1
1.60658,-406,321,-33,-3,7,1
1.60658,-406,321,-33,-3,7,1
1.60659,-405,319,-32,-3,7,1
1.60659,-405,319,-32,-3,7,1
1.60664,-405,319,-32,-3,7,1
1.60666,-403,313,-29,-3,7,1
1.60667,-403,313,-29,-3,7,1
1.60667,-410,314,-28,-3,7,1
1.60667,-410,314,-28,-3,7,1
1.60675,-410,314,-28,-3,7,1
1.60675,-410,325,-25,-3,7,1
1.60676,-410,325,-25,-3,7,1
1.60678,-390,328,-15,-3,7,1
1.60678,-390,328,-15,-3,7,1
1.60679,-390,328,-15,-3,7,1
1.65924,-392,324,-23,-3,7,1
1.65926,-392,324,-23,-3,7,1
1.65932,-392,324,-23,-3,7,1
1.65933,-404,319,-30,-3,7,1
1.65938,-404,319,-30,-3,7,1
1.65940,-410,317,-33,-3,7,1
1.65944,-410,317,-33,-3,7,1
1.65945,-410,317,-33,-3,7,1
1.65951,-400,319,-26,-3,7,1
1.65951,-400,319,-26,-3,7,1
1.65956,-402,320,-20,-3,7,1
1.65962,-402,320,-20,-3,7,1
1.65963,-402,320,-20,-3,7,1
1.65963,-411,324,-23,-3,7,1
1.65964,-411,324,-23,-3,7,1
1.65964,-400,325,-36,-3,7,1
1.71468,-401,350,-56,-3,7,1
1.71471,-301,406,15,-3,7,1
1.71471,-301,406,15,-3,7,1
1.71471,-382,344,-62,-3,7,1
1.71472,-382,344,-62,-3,7,1
1.71472,-382,344,-62,-3,7,1
1.71479,-455,315,-143,-3,7,1
1.71480,-455,315,-143,-3,7,1
1.71489,-346,387,-144,-3,7,1
1.71492,-346,387,-144,-3,7,1
1.71497,-346,387,-144,-3,7,1
1.71500,-275,408,-142,-3,7,1
1.71501,-275,408,-142,-3,7,1
1.71502,-350,350,-150,-3,7,1
1.71505,-350,350,-150,-3,7,1
1.71505,-350,350,-150,-3,7,1
1.76910,-428,298,-9,-3,7,1
1.76919,-428,298,-9,-3,7,1
1.76921,-428,298,-9,-3,7,1
1.76926,-491,271,-19,-3,7,1
1.76935,-491,271,-19,-3,7,1
1.76939,-436,274,-8,-3,7,1
1.76941,-436,274,-8,-3,7,1
1.76943,-436,274,-8,-3,7,1
1.76947,-390,298,15,-3,7,1
1.76953,-390,298,15,-3,7,1
1.76958,-412,315,5,-3,7,1
1.76959,-412,315,5,-3,7,1
1.76960,-412,315,5,-3,7,1
1.76961,-445,302,-58,-3,7,1
1.76961,-445,302,-58,-3,7,1
1.76962,-415,302,-96,-3,7,1
1.82075,-445,310,-59,-3,7,1
1.82080,-445,310,-59,-3,7,1
1.82085,-375,330,12,-3,7,1
1.82087,-375,330,12,-3,7,1
1.82088,-401,308,8,-3,7,1
1.82089,-401,308,8,-3,7,1
1.82095,-401,308,8,-3,7,1
1.82106,-458,289,-47,-3,7,1
