t,ax,ay,az,gx,gy,gz
0.98523,-404,318,-25,7,-5,-1
0.98528,-407,318,-28,7,-5,-1
0.98532,-407,318,-28,7,-5,-1
0.98543,-408,319,-33,7,-5,-1
0.98545,-408,319,-33,7,-5,-1
0.98547,-408,319,-33,7,-5,-1
0.98549,-406,319,-36,7,-5,-1
0.98550,-406,319,-36,7,-5,-1
0.98554,-404,318,-34,7,-5,-1
0.98564,-404,318,-34,7,-5,-1
0.98566,-404,318,-34,7,-5,-1
1.04064,-403,318,-32,7,-5,-1
1.04088,-403,318,-32,7,-5,-1
1.04093,-403,318,-32,7,-5,-1
1.04095,-402,318,-29,7,-5,-1
1.04099,-402,318,-29,7,-5,-1
1.04109,-402,319,-26,7,-5,-1
1.04113,-402,319,-26,7,-5,-1
1.04120,-402,319,-26,7,-5,-1
1.04146,-401,319,-24,7,-5,-1
1.04148,-401,319,-24,7,-5,-1
1.04149,-400,319,-22,7,-5,-1
1.04151,-400,319,-22,7,-5,-1
1.04152,-400,319,-22,7,-5,-1
1.04154,-402,318,-23,7,-5,-1
1.04156,-402,318,-23,7,-5,-1
1.04157,-405,318,-26,7,-5,-1
1.09654,-401,318,-24,7,-5,-1
1.09657,-401,318,-24,7,-5,-1
1.09664,-404,318,-26,7,-5,-1
1.09675,-404,318,-26,7,-5,-1
1.09676,-404,318,-26,7,-5,-1
1.09677,-406,319,-29,7,-5,-1
1.09678,-406,319,-29,7,-5,-1
1.09679,-407,319,-32,7,-5,-1
1.09680,-407,319,-32,7,-5,-1
1.09688,-407,319,-32,7,-5,-1
1.09690,-405,318,-33,7,-5,-1
1.09691,-405,318,-33,7,-5,-1
1.09692,-401,319,-30,7,-5,-1
1.09692,-401,319,-30,7,-5,-1
1.09693,-401,319,-30,7,-5,-1
1.09701,-399,320,-25,7,-5,-1
1.14816,-402,320,-27,7,-5,-1
1.14819,-400,321,-23,7,-5,-1
1.14820,-400,321,-23,7,-5,-1
1.14826,-399,320,-21,7,-5,-1
1.14828,-399,320,-21,7,-5,-1
1.14865,-399,320,-21,7,-5,-1
1.14868,-400,319,-20,7,-5,-1
1.14869,-400,319,-20,7,-5,-1
1.14870,-401,319,-21,7,-5,-1
1.14870,-401,319,-21,7,-5,-1
1.14871,-401,319,-21,7,-5,-1
1.14872,-403,320,-26,7,-5,-1
1.14882,-403,320,-26,7,-5,-1
1.14884,-404,319,-32,7,-5,-1
1.14884,-404,319,-32,7,-5,-1
1.14885,-404,319,-32,7,-5,-1
1.20393,-401,319,-27,7,-5,-1
1.20397,-401,319,-27,7,-5,-1
1.20403,-401,319,-27,7,-5,-1
1.20408,-404,319,-27,7,-5,-1
1.20409,-404,319,-27,7,-5,-1
1.20411,-405,320,-28,7,-5,-1
1.20412,-405,320,-28,7,-5,-1
1.20413,-405,320,-28,7,-5,-1
1.20414,-405,321,-32,7,-5,-1
1.20415,-405,321,-32,7,-5,-1
1.20422,-405,321,-35,7,-5,-1
1.20429,-405,321,-35,7,-5,-1
1.20431,-405,321,-35,7,-5,-1
1.20432,-404,321,-34,7,-5,-1
1.20436,-404,321,-34,7,-5,-1
1.20437,-402,320,-29,7,-5,-1
1.25584,-402,321,-29,7,-5,-1
1.25606,-401,322,-27,7,-5,-1
1.25739,-401,322,-27,7,-5,-1
1.25761,-401,322,-27,7,-5,-1
1.25798,-401,322,-25,7,-5,-1
1.25815,-401,322,-25,7,-5,-1
1.25820,-401,321,-24,7,-5,-1
1.25838,-401,321,-24,7,-5,-1
1.25841,-401,321,-24,7,-5,-1
1.25843,-401,319,-24,7,-5,-1
1.25845,-401,319,-24,7,-5,-1
1.25866,-402,319,-26,7,-5,-1
1.25869,-402,319,-26,7,-5,-1
1.25871,-402,319,-26,7,-5,-1
1.25873,-404,319,-28,7,-5,-1
1.25876,-404,319,-28,7,-5,-1
1.31353,-400,321,-24,7,-5,-1
1.31364,-400,321,-24,7,-5,-1
1.31374,-401,320,-24,7,-5,-1
1.31392,-401,320,-24,7,-5,-1
1.31396,-403,319,-27,7,-5,-1
1.31398,-403,319,-27,7,-5,-1
1.31408,-403,319,-27,7,-5,-1
1.31412,-406,319,-31,7,-5,-1
1.31415,-406,319,-31,7,-5,-1
1.31423,-408,319,-34,7,-5,-1
1.31426,-408,319,-34,7,-5,-1
1.31433,-408,319,-34,7,-5,-1
1.31446,-407,320,-35,7,-5,-1
1.31448,-407,320,-35,7,-5,-1
1.31450,-403,320,-32,7,-5,-1
1.31455,-403,320,-32,7,-5,-1
1.36648,-402,321,-26,7,-5,-1
1.36651,-399,321,-23,7,-5,-1
1.36655,-399,321,-23,7,-5,-1
1.36656,-398,319,-21,7,-5,-1
1.36662,-398,319,-21,7,-5,-1
1.36662,-398,319,-21,7,-5,-1
1.36663,-400,318,-22,7,-5,-1
1.36667,-400,318,-22,7,-5,-1
1.36667,-404,318,-27,7,-5,-1
1.36668,-404,318,-27,7,-5,-1
1.36669,-404,318,-27,7,-5,-1
1.36669,-406,320,-34,7,-5,-1
1.36671,-406,320,-34,7,-5,-1
1.36671,-407,321,-38,7,-5,-1
1.36672,-407,321,-38,7,-5,-1
1.36673,-407,321,-38,7,-5,-1
1.41930,-404,319,-30,7,-5,-1
1.41936,-404,319,-30,7,-5,-1
1.41948,-404,319,-30,7,-5,-1
1.41962,-406,321,-32,7,-5,-1
1.41972,-406,321,-32,7,-5,-1
1.41978,-406,322,-33,7,-5,-1
1.41979,-406,322,-33,7,-5,-1
1.41980,-406,322,-33,7,-5,-1
1.41986,-404,322,-34,7,-5,-1
1.41986,-404,322,-34,7,-5,-1
1.41986,-403,320,-30,7,-5,-1
1.41987,-403,320,-30,7,-5,-1
1.41991,-403,320,-30,7,-5,-1
1.41991,-402,319,-26,7,-5,-1
1.41991,-402,319,-26,7,-5,-1
1.41992,-401,319,-23,7,-5,-1
1.47227,-403,319,-30,7,-5,-1
1.47230,-403,319,-30,7,-5,-1
1.47237,-403,319,-30,7,-5,-1
1.47238,-401,320,-28,7,-5,-1
1.47239,-401,320,-28,7,-5,-1
1.47255,-400,320,-24,7,-5,-1
1.47259,-400,320,-24,7,-5,-1
1.47260,-400,320,-24,7,-5,-1
1.47262,-400,319,-21,7,-5,-1
1.47263,-400,319,-21,7,-5,-1
1.47263,-399,318,-21,7,-5,-1
1.47264,-399,318,-21,7,-5,-1
1.47264,-399,318,-21,7,-5,-1
1.47266,-402,317,-24,7,-5,-1
1.47267,-402,317,-24,7,-5,-1
1.47271,-406,318,-29,7,-5,-1
1.52644,-400,320,-23,7,-5,-1
1.52646,-400,320,-23,7,-5,-1
1.52646,-400,320,-21,7,-5,-1
1.52652,-400,320,-21,7,-5,-1
1.52653,-400,320,-21,7,-5,-1
1.52661,-402,320,-22,7,-5,-1
1.52661,-402,320,-22,7,-5,-1
1.52662,-404,320,-28,7,-5,-1
1.52669,-404,320,-28,7,-5,-1
1.52670,-404,320,-28,7,-5,-1
1.52670,-407,319,-33,7,-5,-1
1.52670,-407,319,-33,7,-5,-1
1.52672,-406,318,-34,7,-5,-1
1.52680,-406,318,-34,7,-5,-1
1.52680,-406,318,-34,7,-5,-1
1.52681,-404,319,-31,7,-5,-1
1.57744,-406,320,-32,7,-5,-1
1.57746,-406,320,-32,7,-5,-1
1.57747,-405,319,-31,7,-5,-1
1.57747,-405,319,-31,7,-5,-1
1.57755,-403,319,-29,7,-5,-1
1.57756,-403,319,-29,7,-5,-1
1.57757,-403,319,-29,7,-5,-1
1.57758,-401,319,-27,7,-5,-1
1.57759,-401,319,-27,7,-5,-1
1.57771,-400,319,-25,7,-5,-1
1.57771,-400,319,-25,7,-5,-1
1.57772,-400,319,-25,7,-5,-1
1.57772,-400,318,-23,7,-5,-1
1.57781,-400,318,-23,7,-5,-1
1.57781,-404,319,-23,7,-5,-1
1.57781,-404,319,-23,7,-5,-1
1.63256,-400,319,-31,7,-5,-1
1.63259,-400,319,-31,7,-5,-1
1.63266,-400,319,-31,7,-5,-1
1.63267,-397,320,-24,7,-5,-1
1.63268,-397,320,-24,7,-5,-1
1.63269,-405,318,-18,7,-5,-1
1.63273,-405,318,-18,7,-5,-1
1.63275,-405,318,-18,7,-5,-1
1.63276,-401,318,-21,7,-5,-1
1.63283,-401,318,-21,7,-5,-1
1.63284,-398,318,-30,7,-5,-1
1.63289,-398,318,-30,7,-5,-1
1.63291,-398,318,-30,7,-5,-1
1.63293,-407,319,-35,7,-5,-1
1.63293,-407,319,-35,7,-5,-1
1.63295,-407,322,-33,7,-5,-1
1.68770,-371,392,11,7,-5,-1
1.68772,-371,392,11,7,-5,-1
1.68778,-470,282,-42,7,-5,-1
1.68781,-470,282,-42,7,-5,-1
1.68787,-470,282,-42,7,-5,-1
1.68788,-433,256,-25,7,-5,-1
1.68788,-433,256,-25,7,-5,-1
1.68789,-318,387,69,7,-5,-1
1.68790,-318,387,69,7,-5,-1
1.68792,-318,387,69,7,-5,-1
1.68796,-371,392,37,7,-5,-1
1.68805,-371,392,37,7,-5,-1
1.68806,-493,270,-133,7,-5,-1
1.68806,-493,270,-133,7,-5,-1
1.68807,-493,270,-133,7,-5,-1
1.68809,-394,276,-190,7,-5,-1
1.73893,-306,349,35,7,-5,-1
1.73896,-306,349,35,7,-5,-1
1.73902,-306,349,35,7,-5,-1
1.73904,-463,328,6,7,-5,-1
1.73904,-463,328,6,7,-5,-1
1.73905,-495,296,-92,7,-5,-1
1.73911,-495,296,-92,7,-5,-1
1.73912,-495,296,-92,7,-5,-1
1.73913,-367,301,-154,7,-5,-1
1.73914,-367,301,-154,7,-5,-1
1.73914,-324,336,-117,7,-5,-1
1.73921,-324,336,-117,7,-5,-1
1.73925,-324,336,-117,7,-5,-1
1.73926,-437,331,-64,7,-5,-1
1.73926,-437,331,-64,7,-5,-1
1.73926,-495,280,-65,7,-5,-1
1.79362,-396,287,-169,7,-5,-1
1.79364,-279,369,-165,7,-5,-1
1.79371,-279,369,-165,7,-5,-1
1.79379,-279,369,-165,7,-5,-1
1.79380,-411,364,-99,7,-5,-1
1.79384,-411,364,-99,7,-5,-1
1.79387,-502,291,-35,7,-5,-1
1.79394,-502,291,-35,7,-5,-1
1.79395,-502,291,-35,7,-5,-1
1.79396,-384,287,61,7,-5,-1
1.79397,-384,287,61,7,-5,-1
1.79398,-304,351,144,7,-5,-1
1.79398,-304,351,144,7,-5,-1
1.79403,-304,351,144,7,-5,-1
1.79404,-417,363,111,7,-5,-1
1.79412,-417,363,111,7,-5,-1
1.84920,-401,292,-75,7,-5,-1
1.84924,-288,313,-44,7,-5,-1
1.84930,-288,313,-44,7,-5,-1
1.84931,-288,313,-44,7,-5,-1
